name,type,detailed_type,categ_id
"ESQUINERO 2.75"" X 2.75"" X 101 CAL 180",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"ESQUINERO 2.75"" x 2.75"" x 26"" CAL. 225",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"ESQUINERO 2.75"" x 2.75"" x 36"" CAL.225",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO 2X2 PRUEBA,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
ESQUINERO 2X2X130 CAL 200,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"ESQUINERO 3"" X 3"" X 100CM CAL 180",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"ESQUINERO 3"" X 3"" X 109CMS CAL. 180",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"ESQUINERO 3"" X 3"" X 90CM",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO 30AA BACK UP,Consumible,Consumible,Cartón / Consumibles (Cartón)
"ESQUINERO 3X3X34.5"" CAL 200",Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO 40”,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
"ESQUINERO 45"" ALTERNO",Producto almacenable,Producto almacenable,Cartón / Producto Comercialización (Cartón)
"ESQUINERO 57""",Servicio,Servicio,Servicios
ESQUINERO 745 (1),Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO 745 (2),Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO 745 y  2320272,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
ESQUINERO 746 & 747,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO 91CM - STAB. 3,Producto almacenable,Producto almacenable,Cartón / Producto Comercialización (Cartón)
ESQUINERO 96CM -,Producto almacenable,Producto almacenable,Cartón / Producto Comercialización (Cartón)
ESQUINERO AQ450 CONTENEDOR CARTON,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
ESQUINERO ARRAY,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
ESQUINERO ATI,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
