id,id,product_tag_ids,name,list_price,default_code,type,detailed_type,categ_id,categ_id/id
__export__.product_template_21313_ddd75bc1,__export__.product_template_21313_ddd75bc1,,13877,1.00,DEFAULT-5864,Consumible,Consumible,Todos,product.product_category_all
__import__.product_product_pt_0088_product_template,__import__.product_product_pt_0088_product_template,,"13877  24"". Caja Terminada.",1.14,"938830 FS 30 99 0000 00 000 CARTÓN - SIZE 24""",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0102_product_template,__import__.product_product_pt_0102_product_template,,13891. 643920. Stabomat. Caja.,4.10,"643920 CART, SOM, 746.8X569.0X292.1, RSC - BOX 643920 STABOMAT",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0104_product_template,__import__.product_product_pt_0104_product_template,,13893. MOPAR CH. 755266. CAJA IMP.,2.49,755266 FS 30 99 0000 00 000 CARTÓN - BOX 755266 MOPAR,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0121_product_template,__import__.product_product_pt_0121_product_template,,13910 241B. Export. Caja.,0.00,241B EXPORT CAJA,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__export__.product_template_17120_f83c93ac,__export__.product_template_17120_f83c93ac,,1400 NYLON - DECO ASSY PASSENGER,1.00,1400 NYLON - DECO ASSY PASSENGER,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable),__export__.product_category_30_45cb0a76
__import__.product_product_pt_0218_product_template,__import__.product_product_pt_0218_product_template,,14007. Shock Tower. Caja.,0.00,CAJA RSC SHOCK TOWER,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0307_product_template,__import__.product_product_pt_0307_product_template,,14096. Audi Q5. Celda Troquelada.,0.00,CELDA AUDI Q5,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0311_product_template,__import__.product_product_pt_0311_product_template,,14100. GM177. Celda Troquelada.,0.00,CELDA GM177,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0327_product_template,__import__.product_product_pt_0327_product_template,,14116    Chattanooga. St3. Celda Troquelada.,0.00,CELDA VW CHATTANOOGA,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0339_product_template,__import__.product_product_pt_0339_product_template,,14128. Audi Q5. Charola Troquelada.,0.00,CHAROLA AUDI Q5,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0342_product_template,__import__.product_product_pt_0342_product_template,,14131. GM177. Charola Troquelada.,0.00,CHAROLA GM177,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0350_product_template,__import__.product_product_pt_0350_product_template,,14139   Chattanooga. St1 y St3. Charola Troquelada.,0.00,CHAROLA VW CHATTANOOGA,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0353_product_template,__import__.product_product_pt_0353_product_template,,14142. CHRYSLER INSERT DJ. 694087.,0.77,428818 AS 30 99 0000 00 000 INSERTO - CHRYSLER INSERT DJ,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
__import__.product_product_pt_0445_product_template,__import__.product_product_pt_0445_product_template,,14234. Audi Q5. Divisor Troquelado.,0.00,DIVISOR AUDI Q5,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0447_product_template,__import__.product_product_pt_0447_product_template,,14236   Chattanooga. St1 y St3. Divisor Troquelado.,0.00,DIVISOR CON DOBLEZ VW CHATTANOOGA,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0449_product_template,__import__.product_product_pt_0449_product_template,,14238. GM177. Divisor.,0.00,DIVISOR GM177,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0451_product_template,__import__.product_product_pt_0451_product_template,,14240   Chattanooga. St1 y St3. Zig Zag Troquelado.,0.00,DIVISOR ZIGZAG VW CHATTANOOGA,Producto almacenable,Producto almacenable,Cartón / Producto en Proceso MTS (Cartón),__export__.product_category_24_a0e28645
__import__.product_product_pt_0512_product_template,__import__.product_product_pt_0512_product_template,,14301. 642762. Pad. S.M.,0.50,"642762 PACKING, SHEET, 565.2X742.9 - INSERT 642762",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón),__import__.product_category_001
